Sr. No.,Company name,ISIN,BSE_symb, BSE_mark_cap ,NSE_symb, NSE_mark_cap ,Category,Industry_Classification,Issuer_Type,Corporate_Office_City,Zone,
102,JINDAL STEEL LIMITED,INE749A01030,JINDALSTEL," 1,03,391.88 ",JINDALSTEL," 1,03,413.66 ",Mid Cap,Metals & Mining,Private,New Delhi,North,
103,IDBI Bank Ltd,INE008A01015,IDBI," 1,02,939.06 ",IDBI," 1,02,939.49 ",Mid Cap,Financial Services,Public,Mumbai,West,
104,SWIGGY LIMITED,INE00H001014,SWIGGY ," 1,03,022.26 ",SWIGGY," 1,02,180.65 ",Mid Cap,Consumer Services,Private,Bengaluru,South,
105,BSE Ltd.,INE118H01025,-, - ,BSE," 1,01,299.27 ",Mid Cap,Financial Services,Private,Mumbai,West,
106,Mankind Pharma Limited,INE634S01028,MANKIND," 99,913.07 ",MANKIND," 99,923.49 ",Mid Cap,Healthcare,Private,New Delhi,North,
107,Indian Bank,INE562A01011,INDIANB," 99,682.66 ",INDIANB," 99,686.08 ",Mid Cap,Financial Services,Public,Chennai,South,
108,INDUS TOWERS LIMITED,INE121J01017,INDUSTOWER," 99,636.18 ",INDUSTOWER," 99,639.12 ",Mid Cap,Telecommunication,Private,Gurugram,North,
109,United Spirits Limited,INE854D01024,UNITDSPR," 99,542.73 ",UNITDSPR," 99,548.53 ",Mid Cap,Fast Moving Consumer Goods,Private,Bengaluru,South,
110,GMR Airports Limited,INE776C01039,GMRAIRPORT," 98,984.11 ",GMRAIRPORT," 98,997.44 ",Mid Cap,Services,Private,New Delhi,North,
111,REC LIMITED,INE020B01018,RECLTD," 98,216.75 ",RECLTD," 98,212.67 ",Mid Cap,Financial Services,Public,New Delhi,North,
112,Zydus Lifesciences Limited,INE010B01027,ZYDUSLIFE," 97,833.34 ",ZYDUSLIFE," 97,840.48 ",Mid Cap,Healthcare,Private,Ahmedabad,West,
113,ICICI Lombard General Insurance Company Limited ,INE765G01017,ICICIGI," 96,784.33 ",ICICIGI," 96,700.86 ",Mid Cap,Financial Services,Private,Mumbai,West,
114,Billionbrains Garage Ventures Limited,INE0HOQ01053,GROWW," 95,901.88 ",GROWW," 95,890.42 ",Mid Cap,Consumer Services,Private,Bengaluru,South,
115,Dixon Technologies (India) Limited,INE935N01020,DIXON," 95,876.49 ",DIXON," 95,826.20 ",Mid Cap,Consumer Durables,Private,Noida,North,
116,VODAFONE IDEA LIMITED,INE669E01016,IDEA," 94,047.77 ",IDEA," 93,992.74 ",Mid Cap,Telecommunication,Private,Mumbai,West,
117,Havells India Limited,INE176B01034,HAVELLS," 93,918.19 ",HAVELLS," 93,920.58 ",Mid Cap,Consumer Durables,Private,Noida,North,
118,Marico Limited,INE196A01026,MARICO," 93,869.34 ",MARICO," 93,828.48 ",Mid Cap,Fast Moving Consumer Goods,Private,Mumbai,West,
119,Hindustan Petroleum Corporation Ltd,INE094A01015,HINDPETRO," 93,187.56 ",HINDPETRO," 93,198.71 ",Mid Cap,"Oil, Gas & Consumable Fuels",Public,Mumbai,West,
120,Waaree Energies Limited,INE377N01017,WAAREEENER," 92,834.51 ",WAAREEENER," 92,778.22 ",Mid Cap,Capital Goods,Private,Mumbai,West,
121,Bajaj Housing Finance Limited,INE377Y01014,BAJAJHFL," 91,541.61 ",BAJAJHFL," 91,537.71 ",Mid Cap,Financial Services,Private,Pune,West,
122,Dabur India Ltd.,INE016A01026,DABUR," 90,962.01 ",DABUR," 90,966.52 ",Mid Cap,Fast Moving Consumer Goods,Private,New Delhi,North,
123,Lupin Ltd,INE326A01037,LUPIN," 90,702.50 ",LUPIN," 90,701.52 ",Mid Cap,Healthcare,Private,Mumbai,West,
124,JSW Energy Limited,INE121E01018,JSWENERGY," 90,092.40 ",JSWENERGY," 90,095.94 ",Mid Cap,Power,Private,Mumbai,West,
125,ICICI Prudential Life Insurance Company Limited,INE726G01019,ICICIPRULI," 89,707.08 ",ICICIPRULI," 89,685.83 ",Mid Cap,Financial Services,Private,Mumbai,West,
126,Persistent Systems Limited,INE262H01021,PERSISTENT," 89,266.68 ",PERSISTENT," 89,034.17 ",Mid Cap,Information Technology,Private,Pune,West,
127,Bharti Hexacom Limited,INE343G01021,BHARTIHEXA," 88,892.40 ",BHARTIHEXA," 88,887.90 ",Mid Cap,Telecommunication,Private,New Delhi,North,
128,Info Edge(India) Ltd.,INE663F01032,NAUKRI," 88,707.76 ",NAUKRI," 88,709.24 ",Mid Cap,Consumer Services,Private,Noida,North,
129,SRF Ltd.,INE647A01010,SRF," 88,539.71 ",SRF," 88,555.48 ",Mid Cap,Chemicals,Private,Gurugram,North,
130,Bharat Heavy Electricals Ltd.,INE257A01026,BHEL," 87,271.84 ",BHEL," 87,278.80 ",Mid Cap,Capital Goods,Public,New Delhi,North,
131,HITACHI ENERGY INDIA LIMITED,INE07Y701011,POWERINDIA," 86,858.01 ",POWERINDIA," 86,853.67 ",Mid Cap,Capital Goods,Private,Bengaluru,South,
132,Meesho Limited,INE0VDM01015,MEESHO," 86,452.03 ",MEESHO," 86,428.26 ",Mid Cap,Consumer Services,Private,Bengaluru,South,
133,NTPC GREEN ENERGY LIMITED,INE0ONG01011,NTPCGREEN," 84,832.94 ",NTPCGREEN," 84,831.07 ",Mid Cap,Power,Public,New Delhi,North,
134,NHPC Limited,INE848E01016,NHPC," 83,001.88 ",NHPC," 83,007.07 ",Mid Cap,Power,Public,Faridabad,North,
135,PB Fintech Limited,INE417T01026,POLICYBZR," 83,049.35 ",POLICYBZR," 82,915.54 ",Mid Cap,Consumer Services,Private,Gurugram,North,
136,SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,SBICARD," 82,604.93 ",SBICARD," 82,608.72 ",Mid Cap,Financial Services,Private,Gurugram,North,
137,Ashok Leyland Ltd.,INE208A01029,ASHOKLEY," 82,078.91 ",ASHOKLEY," 82,093.21 ",Mid Cap,Automobile & Auto Components,Private,Chennai,South,
138,SUZLON ENERGY LTD.,INE040H01021,SUZLON," 79,526.98 ",SUZLON," 79,491.63 ",Mid Cap,Capital Goods,Private,Pune,West,
139,Aditya Birla Capital Ltd,INE674K01013,ABCAPITAL," 79,362.02 ",ABCAPITAL," 79,334.16 ",Mid Cap,Financial Services,Private,Mumbai,West,
140,One 97 Communications Limited,INE982J01020,PAYTM," 76,908.32 ",PAYTM," 76,862.92 ",Mid Cap,Consumer Services,Private,Noida,North,
141,Indian Overseas Bank,INE565A01014,IOB," 74,120.30 ",IOB," 74,113.11 ",Mid Cap,Financial Services,Public,Chennai,South,
142,Oracle Financial Services Software Limited,INE881D01027,OFSS," 74,085.04 ",OFSS," 74,059.83 ",Mid Cap,Information Technology,Private,Mumbai,West,
143,Lenskart Solutions Limited,INE956O01016,LENSKART," 73,287.72 ",LENSKART," 73,312.57 ",Mid Cap,Consumer Services,Private,Gurugram,North,
144,GE Vernova T&D India Limited,INE200A01026,GVTD," 72,679.42 ",GVT&D," 72,684.76 ",Mid Cap,Capital Goods,Private,Noida,North,
145,Rail Vikas Nigam Limited,INE415G01027,RVNL," 70,914.02 ",RVNL," 70,911.04 ",Mid Cap,Construction,Public,New Delhi,North,
146,Prestige Estates Projects Limited,INE811K01011,PRESTIGE," 70,851.82 ",PRESTIGE," 70,859.12 ",Mid Cap,Realty,Private,Bengaluru,South,
147,Lloyds Metals and Energy Limited,INE281B01032,LLOYDSME," 70,818.96 ",LLOYDSME," 70,799.22 ",Mid Cap,Metals & Mining,Private,Mumbai,West,
148,UNO Minda Limited,INE405E01023,UNOMINDA," 70,476.50 ",UNOMINDA," 70,413.15 ",Mid Cap,Automobile & Auto Components,Private,Manesar,North,
149,Fortis Healthcare Ltd,INE061F01013,FORTIS," 70,000.68 ",FORTIS," 69,998.43 ",Mid Cap,Healthcare,Private,Gurugram,North,
150,FSN E-Commerce Ventures Limited,INE388Y01029,NYKAA," 68,636.17 ",NYKAA," 68,606.35 ",Mid Cap,Consumer Services,Private,Mumbai,West,
151,Oil India Limited,INE274J01014,OIL," 68,181.46 ",OIL," 68,182.36 ",Mid Cap,"Oil, Gas & Consumable Fuels",Public,Noida,North,
152,ADANI TOTAL GAS LIMITED,INE399L01023,ATGL," 67,979.87 ",ATGL," 67,970.27 ",Mid Cap,Utilities,Private,Ahmedabad,West,
153,Coromandel International Limited,INE169A01031,COROMANDEL," 67,915.15 ",COROMANDEL," 67,892.55 ",Mid Cap,Chemicals,Private,Hyderabad,South,
154,General Insurance Corporation of India,INE481Y01014,GICRE," 66,431.89 ",GICRE," 66,432.65 ",Mid Cap,Financial Services,Public,Mumbai,West,
155,Yes Bank Ltd.,INE528G01035,YESBANK," 66,365.05 ",YESBANK," 66,347.81 ",Mid Cap,Financial Services,Private,Mumbai,West,
156,Vishal Mega Mart Limited,INE01EA01019,VMM," 66,115.14 ",VMM," 66,089.66 ",Mid Cap,Consumer Services,Private,Gurugram,North,
157,Abbott India Ltd.,INE358A01014,ABBOTINDIA," 65,871.14 ",-, - ,Mid Cap,Healthcare,Private,Mumbai,West,
158,TORRENT POWER LIMITED,INE813H01021,TORNTPOWER," 65,811.80 ",TORNTPOWER," 65,821.40 ",Mid Cap,Power,Private,Ahmedabad,West,
159,Aurobindo Pharma Ltd.,INE406A01037,AUROPHARMA," 65,677.44 ",AUROPHARMA," 65,683.64 ",Mid Cap,Healthcare,Private,Hyderabad,South,
160,NMDC Ltd,INE584A01023,NMDC," 65,186.37 ",NMDC," 65,185.61 ",Mid Cap,Metals & Mining,Public,Hyderabad,South,
161,Alkem Laboratories Limited,INE540L01014,ALKEM," 64,336.27 ",ALKEM," 64,347.50 ",Mid Cap,Healthcare,Private,Mumbai,West,
162,Berger Paints India Ltd,INE463A01038,BERGEPAINT," 64,186.04 ",BERGEPAINT," 64,192.79 ",Mid Cap,Consumer Durables,Private,Kolkata,East,
163,M.R.F. Ltd.,INE883A01011,MRF," 64,072.74 ",MRF," 64,074.43 ",Mid Cap,Automobile & Auto Components,Private,Chennai,South,
164,Patanjali Foods Limited,INE619A01035,PATANJALI," 63,746.91 ",PATANJALI," 63,679.35 ",Mid Cap,Fast Moving Consumer Goods,Private,Indore,West,
165,Godrej Properties Limited,INE484J01027,GODREJPROP," 63,667.84 ",GODREJPROP," 63,668.98 ",Mid Cap,Realty,Private,Mumbai,West,
166,HDB FINANCIAL SERVICES LIMITED,INE756I01012,HDBFS," 63,476.76 ",HDBFS," 63,482.33 ",Mid Cap,Financial Services,Private,Ahmedabad,West,
167,L&T Finance Limited,INE498L01015,LTF," 63,084.07 ",LTF," 63,048.52 ",Mid Cap,Financial Services,Private,Mumbai,West,
168,JSW Infrastructure Limited,INE880J01026,JSWINFRA," 62,718.71 ",JSWINFRA," 62,722.96 ",Mid Cap,Services,Private,Mumbai,West,
169,Schaeffler India Limited,INE513A01022,SCHAEFFLER," 62,598.42 ",SCHAEFFLER," 62,603.85 ",Mid Cap,Automobile & Auto Components,Private,Pune,West,
170,IndusInd Bank Ltd.,INE095A01012,INDUSINDBK," 62,528.05 ",INDUSINDBK," 62,528.80 ",Mid Cap,Financial Services,Private,Mumbai,West,
171,Jindal Stainless Limited,INE220G01021,JSL," 61,867.59 ",JSL," 61,849.28 ",Mid Cap,Metals & Mining,Private,New Delhi,North,
172,AU Small Finance Bank Limited,INE949L01017,AUBANK," 61,420.12 ",AUBANK," 61,378.71 ",Mid Cap,Financial Services,Private,Jaipur,North,
173,Colgate-Palmolive (India) Ltd.,INE259A01022,COLPAL," 61,273.12 ",COLPAL," 61,274.56 ",Mid Cap,Fast Moving Consumer Goods,Private,Mumbai,West,
174,OBEROI REALTY LIMITED,INE093I01010,OBEROIRLTY," 61,134.68 ",OBEROIRLTY," 61,138.39 ",Mid Cap,Realty,Private,Mumbai,West,
175,Bharat Forge Ltd,INE465A01025,BHARATFORG," 61,062.14 ",BHARATFORG," 61,069.83 ",Mid Cap,Industrial Products,Private,Pune,West,
176,Fertilizers and Chemicals Travancore Limited,INE188A01015,FACT," 59,603.70 ",FACT," 59,608.27 ",Mid Cap,Chemicals,Public,Kochi,South,
177,COFORGE LIMITED,INE591G01025,COFORGE," 59,323.62 ",COFORGE," 59,303.37 ",Mid Cap,Information Technology,Private,Noida,North,
178,UPL Limited,INE628A01036,UPL," 60,521.71 ",UPL," 56,883.31 ",Mid Cap,Chemicals,Private,Mumbai,West,
179,The Phoenix Mills Ltd.,INE211B01039,PHOENIXLTD," 57,964.35 ",PHOENIXLTD," 57,972.70 ",Mid Cap,Realty,Private,Mumbai,West,
180,Bank of India,INE084A01016,BANKINDIA," 57,802.62 ",BANKINDIA," 57,811.37 ",Mid Cap,Financial Services,Public,Mumbai,West,
181,Tube Investments of India Ltd,INE974X01010,TIINDIA," 57,612.95 ",TIINDIA," 57,620.24 ",Mid Cap,Automobile & Auto Components,Private,Chennai,South,
182,Indian Railway Catering & Tourism Corporation Ltd,INE335Y01020,IRCTC," 57,368.63 ",IRCTC," 57,370.95 ",Mid Cap,Consumer Services,Public,New Delhi,North,
183,Bharat Dynamics Limited,INE171Z01026,BDL," 57,203.13 ",BDL," 57,206.15 ",Mid Cap,Capital Goods,Public,Hyderabad,South,
184,IDFC FIRST BANK LIMITED,INE092T01019,IDFCFIRSTB," 57,664.29 ",IDFCFIRSTB," 56,605.59 ",Mid Cap,Financial Services,Private,Mumbai,West,
185,PI Industries Limited,INE603J01030,PIIND," 55,993.66 ",PIIND," 55,996.59 ",Mid Cap,Chemicals,Private,Udaipur,North,
186,Motilal Oswal Financial Services Limited,INE338I01027,MOTILALOFS," 55,870.25 ",MOTILALOFS," 55,855.06 ",Mid Cap,Financial Services,Private,Mumbai,West,
187,Glenmark Pharmaceuticals ltd,INE935A01035,GLENMARK," 55,712.57 ",GLENMARK," 55,719.39 ",Mid Cap,Healthcare,Private,Mumbai,West,
188,Max Financial Services Limited,INE180A01020,MFSL," 55,402.53 ",MFSL," 55,407.22 ",Mid Cap,Financial Services,Private,Noida,North,
189,Steel Authority of India Ltd.,INE114A01011,SAIL," 54,436.25 ",SAIL," 54,443.86 ",Mid Cap,Metals & Mining,Public,New Delhi,North,
190,Federal Bank Ltd.,INE171A01029,FEDERALBNK," 54,269.80 ",FEDERALBNK," 54,298.67 ",Mid Cap,Financial Services,Private,Aluva,South,
191,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,INE298J01013,NAM-INDIA," 53,988.84 ",NAM-INDIA," 53,958.92 ",Mid Cap,Financial Services,Private,Mumbai,West,
192,Mphasis Limited,INE356A01018,MPHASIS," 53,515.51 ",MPHASIS," 53,505.61 ",Mid Cap,Information Technology,Private,Bengaluru,South,
193,Kalyan Jewellers India Limited,INE303R01014,KALYANKJIL," 53,383.73 ",KALYANKJIL," 53,386.45 ",Mid Cap,Consumer Durables,Private,Thrissur,South,
194,Linde India Limited,INE473A01011,LINDEINDIA," 53,245.89 ",LINDEINDIA," 53,250.35 ",Mid Cap,Chemicals,Private,Kolkata,East,
195,SUNDARAM FINANCE LTD,INE660A01013,SUNDARMFIN," 52,664.23 ",SUNDARMFIN," 52,674.25 ",Mid Cap,Financial Services,Private,Chennai,South,
