Sr. No.,Company name,ISIN,BSE_symb, BSE_mark_cap ,NSE_symb, NSE_mark_cap ,Category,Industry_Classification,Issuer_Type,Corporate_Office_City,Zone,
234,Thermax Ltd.,INE152A01029,THERMAX," 38,582.74 ",THERMAX," 38,587.35 ",Mid Cap,Capital Goods,Private,Pune,West,
235,Physicswallah Limited,INE0LP301011,PWL," 38,491.00 ",PWL," 38,478.55 ",Mid Cap,Consumer Services,Private,Noida,North,
236,UCO Bank,INE691A01018,UCOBANK," 38,062.84 ",UCOBANK," 38,057.46 ",Mid Cap,Financial Services,Public,Kolkata,East,
237,Blue Star Ltd,INE472A01039,BLUESTARCO," 37,851.41 ",BLUESTARCO," 37,850.99 ",Mid Cap,Consumer Durables,Private,Mumbai,West,
238,Narayana Hrudayalaya Limited,INE410P01011,NH," 37,851.07 ",NH," 37,849.06 ",Mid Cap,Healthcare,Private,Bengaluru,South,
239,Tata Investment Corporation Ltd.,INE672A01026,TATAINVEST," 37,809.03 ",TATAINVEST," 37,805.03 ",Mid Cap,Financial Services,Private,Mumbai,West,
240,Godrej Industries Ltd.,INE233A01035,GODREJIND," 37,682.43 ",GODREJIND," 37,680.96 ",Mid Cap,Diversified,Private,Mumbai,West,
241,POONAWALLA FINCORP LIMITED,INE511C01022,POONAWALLA," 36,984.18 ",POONAWALLA," 36,348.84 ",Mid Cap,Financial Services,Private,Pune,West,
242,CRISIL Ltd.,INE007A01025,CRISIL," 36,290.82 ",CRISIL," 36,290.59 ",Mid Cap,Financial Services,Private,Mumbai,West,
243,K.P.R. Mill Ltd.,INE930H01031,KPRMILL," 36,165.54 ",KPRMILL," 36,176.60 ",Mid Cap,Textiles,Private,Coimbatore,South,
244,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,INE149A01033,CHOLAHLDNG," 35,795.09 ",CHOLAHLDNG," 35,810.29 ",Mid Cap,Financial Services,Private,Chennai,South,
245,3M India Ltd.,INE470A01017,3MINDIA," 35,768.38 ",3MINDIA," 35,782.20 ",Mid Cap,Diversified,Private,Bengaluru,South,
246,Ipca Laboratories Ltd.,INE571A01038,IPCALAB," 35,215.54 ",IPCALAB," 35,224.58 ",Mid Cap,Healthcare,Private,Mumbai,West,
247,Piramal Finance Limited,INE202B01038,PIRAMALFIN," 35,105.31 ",PIRAMALFIN," 35,093.23 ",Mid Cap,Financial Services,Private,Mumbai,West,
248,Apar Industries Ltd,INE372A01015,APARINDS," 34,902.43 ",APARINDS," 34,909.42 ",Mid Cap,Capital Goods,Private,Mumbai,West,
249,SJVN LIMITED,INE002L01015,SJVN," 34,832.21 ",SJVN," 34,833.08 ",Mid Cap,Power,Public,Shimla,North,
250,Global Health Limited,INE474Q01031,MEDANTA," 34,761.46 ",MEDANTA," 34,755.30 ",Mid Cap,Healthcare,Private,Gurugram,North,
251,Others,NA,NA," 95,50,037.00 ",NA," 89,57,532.93 ",Small Cap,Others,Others,Others,Others,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
